"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name"
"5538","XLOC_005539",128.191,123.247,101.826,147.381,140.513,212.021,"LIN7A"
"5539","XLOC_005540",0,0,0,0,0,0,"MIR617"
"5540","XLOC_005541",0,0,0,0,0,0,"MIR618"
"5541","XLOC_005542",79.5671,65.2016,73.9283,148.589,157.861,102.225,"PPFIA2"
"5542","XLOC_005543",634.769,621.8,677.908,751.4,803.182,533.839,"CCDC59"
"5543","XLOC_005544",913.254,833.308,871.098,159.461,163.065,146.711,"SLC6A15"
"5544","XLOC_005545",2.65224,3.18056,2.78975,2.41608,0,0,"TSPAN19"
"5545","XLOC_005546",11.493,9.54169,23.7128,19.3286,26.021,18.9305,"RASSF9"
"5546","XLOC_005547",76.9149,73.9481,62.7693,21.7447,19.0821,17.0374,"MGAT4C"
"5547","XLOC_005548",0,0,0,0,0,0,"MIR548AL"
"5548","XLOC_005549",0,0,0,0,0,0,"MKRN9P"
"5549","XLOC_005550",0,0,0.697436,0,0,0,"C12orf50"
"5550","XLOC_005551",755.888,728.349,694.647,1309.51,1285.44,1137.72,"CEP290"
"5551","XLOC_005552",549.013,530.359,443.57,798.514,860.428,623.759,"KITLG"
"5552","XLOC_005553",7.95671,5.56599,11.8564,0,0,0,"LOC728084"
"5553","XLOC_005554",2633.67,2744.03,2767.43,1773.4,1576.87,1097.02,"DUSP6"
"5554","XLOC_005555",766.497,718.012,735.098,1176.63,1328.81,953.149,"GALNT4,POC1B,POC1B-GALNT4"
"5555","XLOC_005556",1811.48,1735.79,1674.54,8703.92,7580.78,4322.77,"ATP2B1"
"5556","XLOC_005557",0,0,0,0,0,0,"C12orf12"
"5557","XLOC_005558",0,0,0,0,0,0,"EPYC"
"5558","XLOC_005559",0,0,0,1.20804,0,0,"KERA"
"5559","XLOC_005560",1.76816,0.795141,2.09231,3.62412,5.2042,7.57219,"LUM"
"5560","XLOC_005561",1.76816,0,0.697436,1.20804,0,0.946523,"DCN"
"5561","XLOC_005562",554.318,549.442,553.765,310.466,379.907,256.508,"BTG1,LOC256021"
"5562","XLOC_005563",0,0,0,0,0,0,"CLLU1OS"
"5563","XLOC_005564",914.138,797.526,781.826,1588.57,1670.55,1225.75,"EEA1"
"5564","XLOC_005565",0,1.59028,0,4.83216,3.46947,5.67914,"LOC643339"
"5565","XLOC_005566",3532.78,3563.82,3790.57,4085.59,4203.26,2943.69,"UBE2N"
"5566","XLOC_005567",12.3771,11.132,12.5539,49.5296,32.9599,38.8075,"LOC144481"
"5567","XLOC_005568",600.29,540.696,626.995,483.216,457.97,315.192,"CCDC41"
"5568","XLOC_005569",93.7124,90.6461,82.9949,80.9386,74.5935,79.508,"TMCC3"
"5569","XLOC_005570",636.537,661.557,659.077,768.313,884.714,607.668,"NDUFA12"
"5570","XLOC_005571",849.6,859.547,753.231,1188.71,1340.95,930.433,"NR2C1"
"5571","XLOC_005572",1569.24,1473.4,1287.47,4714.98,4721.94,3843.83,"FGD6"
"5572","XLOC_005573",5867.63,5333.01,5332.6,398.653,428.479,374.823,"USP44"
