"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p"
"6825","XLOC_006826",14.1453,20.6737,6.27693,4.83216,6.93893,11.3583,"SERPINA10",13.6986433333333,7.70979666666667,-0.82926830366817,1.3062549675855,0.321487972181492,1
"8199","XLOC_008200",428.778,510.481,566.318,236.776,289.7,320.871,"MRPS34",501.859,282.449,-0.829291695256973,4.68049986185937,0.0427420566418627,1
"22204","XLOC_022206",402.256,376.102,416.37,195.702,253.271,223.38,"C9orf91",398.242666666667,224.117666666667,-0.82939141829661,8.54261157149234,0.0134277153404094,1
"10210","XLOC_010211",0,2.38542,0.697436,0,1.73473,0,"LOC100505474",1.02761866666667,0.578243333333333,-0.829556369116559,0.491537245713941,0.671695743086079,1
"11101","XLOC_011102",40.6676,40.5522,34.1744,8.45628,13.8779,42.5936,"C19orf25",38.4647333333333,21.6425933333333,-0.829662925429505,1.55661485785449,0.259849126370302,1
"20665","XLOC_020666",103.437,92.2364,98.3385,54.3618,58.9809,52.0588,"DFNA5",98.0039666666667,55.1338333333333,-0.829902230537863,11.2102646127503,0.00786360983775445,1
"17035","XLOC_017036",1558.63,1512.36,1352.33,850.46,909,728.823,"MEGF10",1474.44,829.427666666667,-0.829979039227503,7.86715965042479,0.0157758004678994,1
"9005","XLOC_009006",46.8562,55.6599,55.7949,19.3286,24.2863,45.4331,"NXPH3",52.7703333333333,29.6826666666667,-0.830106388271472,2.70567410768053,0.113758946091664,1
"5183","XLOC_005184",1257.16,1313.57,1355.12,790.058,593.279,824.422,"NOP2",1308.61666666667,735.919666666667,-0.83042235550335,7.39915455214996,0.0177799893812506,1
"15090","XLOC_015091",127.307,130.403,134.605,57.9859,64.1851,98.4384,"CHCHD6",130.771666666667,73.5364666666667,-0.830518232925664,4.48711793246342,0.0462483531147553,1
"21814","XLOC_021816",13179,12408.2,12726.8,7875.21,7858.34,5808.81,"AZIN1",12771.3333333333,7180.78666666667,-0.830695343590053,7.74814585233971,0.0162523224335126,1
"11623","XLOC_011624",830.15,887.377,933.867,375.7,364.294,750.593,"LIG1",883.798,496.862333333333,-0.830870489658831,2.96719936353445,0.0972885079058088,1
"14500","XLOC_014501",23.8701,17.4931,20.2257,9.66432,17.3473,7.57219,"ZNF280A",20.5296333333333,11.5279366666667,-0.832573545997558,2.57265520359338,0.123676696387694,1
"11381","XLOC_011382",39.7836,44.5279,31.3846,21.7447,13.8779,29.3422,"LOC284440",38.5653666666667,21.6549333333333,-0.832610096676635,2.87082699117416,0.102938730814167,1
"15401","XLOC_015402",410.213,399.956,309.662,200.535,163.065,265.027,"TRANK1",373.277,209.542333333333,-0.833004880068895,3.74931107529575,0.0643471162013649,1
"5741","XLOC_005742",3051.84,3155.12,3440.45,1859.17,2007.09,1548.51,"SAP18",3215.80333333333,1804.92333333333,-0.833241621403659,7.91608784098621,0.0155859086839893,1
"3158","XLOC_003158",7.95671,18.2882,9.06667,4.83216,12.1431,2.83957,"FAM196A",11.7705266666667,6.60494333333333,-0.8335607853972,1.19385292723152,0.354936476920721,1
"5703","XLOC_005704",15.0293,27.0348,25.1077,7.24824,8.67367,21.77,"ABCB9",22.3906,12.56397,-0.833600785281159,1.65595525461856,0.239570033529536,1
"23604","XLOC_023607",716.988,667.123,677.908,384.157,400.723,371.984,"NAP1L2",687.339666666667,385.621333333333,-0.833838353802204,17.4542948939773,0.00326635570443452,1
"7362","XLOC_007363",545.477,523.203,493.088,318.922,324.395,232.845,"ATPBD4",520.589333333333,292.054,-0.833910607595712,6.86150714890203,0.020586687593867,1
"17831","XLOC_017832",4.4204,3.9757,6.97436,1.20804,1.73473,5.67914,"HIST1H2BF",5.12348666666667,2.87397,-0.834080933879768,1.32940628996236,0.31507753469759,1
"8268","XLOC_008269",174.164,206.737,214.113,113.556,97.1451,123.048,"TMEM186",198.338,111.2497,-0.834159667405541,6.04033934258411,0.0263303203621981,1
"20298","XLOC_020299",35.3632,40.5522,51.6103,26.5769,26.021,18.9305,"DPY19L2P4",42.5085666666667,23.8428,-0.834199944106507,3.46539177123084,0.0741306654164978,1
"5590","XLOC_005591",2280.92,2150.86,2182.28,1303.47,1316.66,1089.45,"GNPTAB",2204.68666666667,1236.52666666667,-0.834280279483715,11.6069871791822,0.00734104925132595,1
"1764","XLOC_001764",213.947,237.747,216.903,119.596,126.636,128.727,"ACP6",222.865666666667,124.986333333333,-0.834404029258581,12.2617723541616,0.00658547177474618,1
"22034","XLOC_022036",596.753,589.995,627.693,378.116,369.498,269.759,"POLR1E",604.813666666667,339.124333333333,-0.834676433381308,7.24794922134214,0.0185088879085599,1
"20731","XLOC_020733",3.53632,3.18056,6.97436,1.20804,1.73473,4.73262,"PGAM2",4.56374666666667,2.55846333333333,-0.834941152440421,1.22763484090879,0.344464950705607,1
"21579","XLOC_021581",1024.65,937.471,761.601,560.53,471.847,494.085,"PSD3",907.907333333333,508.820666666667,-0.835387785138991,4.87765539572283,0.0395547183560022,1
"22655","XLOC_022657",2500.18,2462.55,2466.83,1547.5,1504.01,1112.17,"TEX10",2476.52,1387.89333333333,-0.83541757828584,7.83510566178748,0.015902075439343,1
"3116","XLOC_003116",97.2487,96.2121,83.6924,60.402,50.3073,44.4866,"GFRA1",92.3844,51.7319666666667,-0.83659322043334,6.38059120711857,0.02369334192569,1
"17812","XLOC_017813",2390.55,2299.55,2364.31,1513.67,1398.2,1038.34,"MRS2",2351.47,1316.73666666667,-0.836596075670793,7.10346462693839,0.0192476660792423,1
"16822","XLOC_016823",777.99,675.075,715.57,446.975,367.763,399.433,"ANKRD33B",722.878333333333,404.723666666667,-0.836815634901439,8.42559895186542,0.0137955305368315,1
