"","tracking_id","ES_0","ES_1","ES_2","DefEnd_0","DefEnd_2","DefEnd_1","gene_short_name"
"11985","XLOC_011985",115.438,128.985,116.717,237.747,171.199,255.854,"ZNF420"
"11986","XLOC_011986",51.7482,53.0075,67.7935,86.769,61.4803,86.894,"ZNF383"
"11987","XLOC_011987",69.263,79.5112,76.8792,67.6798,52.0218,79.6528,"LINC01535"
"11988","XLOC_011988",564.454,645.808,649.979,675.063,642.233,698.772,"HKR1"
"11989","XLOC_011989",139.322,130.752,126.501,241.218,171.199,211.201,"ZNF527"
"11990","XLOC_011990",71.6514,101.598,78.277,123.212,117.286,111.031,"ZNF570"
"11991","XLOC_011991",479.268,541.56,540.251,782.657,645.071,712.048,"ZNF793"
"11992","XLOC_011992",20.6993,17.6692,6.29011,29.5015,17.0253,27.7578,"ZNF540,ZNF571-AS1"
"11993","XLOC_011993",45.3792,50.3571,44.7297,50.326,37.8341,32.5852,"LOC644554"
"11994","XLOC_011994",287.402,329.53,308.915,147.507,245.921,139.996,"SIPA1L3"
"11995","XLOC_011995",2097.79,1926.82,2099.5,2238.64,2805.4,2288.21,"SPINT2"
"11996","XLOC_011996",14.3303,10.6015,9.08572,5.20614,12.2961,3.62058,"C19orf33"
"11997","XLOC_011997",151.264,141.353,147.468,102.387,147.553,117.065,"KCNK6"
"11998","XLOC_011998",7.16514,4.41729,5.59121,10.4123,15.1336,2.41372,"CATSPERG"
"11999","XLOC_011999",1749.89,1497.46,1782.2,1475.07,1922.92,1519.44,"PSMD8"
"12000","XLOC_012000",139.322,126.335,124.404,150.978,195.791,124.307,"SPRED3"
"12001","XLOC_012001",21.4954,9.71804,10.4835,19.0892,15.1336,8.44802,"FAM98C"
"12002","XLOC_012002",709.349,735.921,684.924,15.6184,29.3214,12.0686,"RYR1"
"12003","XLOC_012003",1819.94,1698.01,2072.94,1249.47,2142.35,1298.58,"EIF3K"
"12004","XLOC_012004",1983.15,1919.75,1778.01,1195.68,2196.27,1269.62,"ACTN4"
"12005","XLOC_012005",0,0,0,0,0,0,"LGALS7B"
"12006","XLOC_012006",238.838,235.883,321.495,199.569,152.282,141.203,"NFKBIB"
"12007","XLOC_012007",145.691,124.568,161.446,60.7383,90.8017,63.9636,"MRPS12"
"12008","XLOC_012008",16.7187,29.1541,22.3649,10.4123,11.3502,13.2755,"PAPL"
"12009","XLOC_012009",151.264,163.44,171.231,123.212,260.109,103.79,"PAK4"
"12010","XLOC_012010",37.4179,39.7556,37.0418,17.3538,14.1878,18.1029,"NCCRP1"
"12011","XLOC_012011",0,0,0,0,0,0,"IFNL2"
"12012","XLOC_012012",0,0,0,0,0,0,"IFNL1"
"12013","XLOC_012013",1073.18,1086.65,1070.72,930.164,1368.65,870.147,"SAMD4B"
"12014","XLOC_012014",685.465,721.785,756.212,662.915,716.955,637.222,"MED29"
"12015","XLOC_012015",58.9133,63.609,71.9869,232.541,203.358,139.996,"ZFP36"
"12016","XLOC_012016",1123.33,1086.65,1053.24,2127.58,2608.66,2265.28,"PLEKHG2"
"12017","XLOC_012017",1815.17,1770.45,1873.06,1455.98,1997.64,1634.09,"SUPT5H"
"12018","XLOC_012018",541.366,550.394,601.754,347.076,517.381,377.747,"TIMM50"
"12019","XLOC_012019",23.8838,40.6391,21.666,12.1477,34.9965,10.8617,"DLL3"
"12020","XLOC_012020",74.0397,76.8609,80.3737,34.7076,51.076,32.5852,"SELV"
"12021","XLOC_012021",0,0,0,0,0,0,"LGALS13"
"12022","XLOC_012022",11.9419,9.71804,16.0747,3.47076,18.917,8.44802,"LOC100129935"
"12023","XLOC_012023",0,0,0,0,0,0,"LGALS16"
"12024","XLOC_012024",0,0.883458,0,0,0,0,"LGALS17A"
"12025","XLOC_012025",5.57288,6.18421,1.3978,1.73538,0,1.20686,"LGALS14"
"12026","XLOC_012026",0,0,0,0,0,0,"LEUTX"
"12027","XLOC_012027",1240.36,1099.91,1227.97,994.373,1162.45,1133.24,"PSMC4"
"12028","XLOC_012028",113.05,136.936,125.103,163.126,126.744,121.893,"ZNF546"
"12029","XLOC_012029",47.7676,36.2218,45.4286,31.2368,69.993,22.9304,"MAP3K10"
"12030","XLOC_012030",627.348,576.898,689.117,482.436,1155.83,442.918,"PLD3"
"12031","XLOC_012031",0,0,0,0,0,0,"MIR6796"
"12032","XLOC_012032",11.9419,14.1353,13.978,0,8.51266,2.41372,"SPTBN4"
"12033","XLOC_012033",238.042,244.718,241.121,190.892,480.492,155.685,"SHKBP1"
"12034","XLOC_012034",93.9429,111.316,86.6638,104.123,279.026,86.894,"LTBP4"
"12035","XLOC_012035",126.584,106.898,138.383,95.4459,148.499,92.9283,"ITPKC"
"12036","XLOC_012036",1482.39,1484.21,1579.52,985.696,1190.83,885.836,"SNRPA"
"12037","XLOC_012037",374.179,284.474,349.451,239.482,549.54,259.475,"EGLN2,MIA,MIA-RAB4B,RAB4B,RAB4B-EGLN2"
"12038","XLOC_012038",2.38838,2.65037,2.79561,0,0.945851,2.41372,"CYP2G1P"
"12039","XLOC_012039",19.9032,19.4361,18.8703,17.3538,26.4838,12.0686,"CYP2B7P"
"12040","XLOC_012040",101.904,94.53,91.5561,8.6769,7.56681,2.41372,"CYP2B6"
"12041","XLOC_012041",15.9225,12.3684,10.4835,0,0,0,"CYP2A13"
"12042","XLOC_012042",3.98063,5.30075,2.79561,0,0.945851,0,"CYP2F1"
"12043","XLOC_012043",1662.31,1465.66,1677.36,128.418,345.236,162.926,"CYP2S1"
"12044","XLOC_012044",601.075,621.955,629.011,324.516,398.203,293.267,"AXL"
"12045","XLOC_012045",4836.47,4740.64,4653.29,4397.45,4449.28,4399.01,"HNRNPUL1"
"12046","XLOC_012046",293.771,280.94,287.249,531.026,670.609,523.778,"CCDC97"
"12047","XLOC_012047",17.5148,8.83458,12.5802,12.1477,35.9424,13.2755,"TMEM91"
"12048","XLOC_012048",118.623,108.665,120.211,60.7383,206.196,39.8264,"BCKDHA"
"12049","XLOC_012049",0.796126,0.883458,2.0967,0,0,0,"ERICH4"
"12050","XLOC_012050",3.98063,5.30075,0.698902,0,0.945851,0,"LINC01480"
"12051","XLOC_012051",0.796126,1.76692,0,0,0,0,"CEACAM21"
"12052","XLOC_012052",11.1458,16.7857,13.2791,13.883,39.7258,14.4823,"CEACAM5"
"12053","XLOC_012053",0,1.76692,0,6.94152,7.56681,0,"CEACAM6"
"12054","XLOC_012054",0,0,0,0,0,0,"CEACAM3"
"12055","XLOC_012055",0,0.883458,0,0,0,0,"DMRTC2"
"12056","XLOC_012056",5944.67,5373.19,6198.56,4416.54,5964.54,3731.61,"RPS19"
"12057","XLOC_012057",0,0,0,0,0,0,"MIR6797"
"12058","XLOC_012058",0,2.65037,2.0967,0,0.945851,2.41372,"CD79A"
"12059","XLOC_012059",168.779,155.489,164.941,137.095,326.319,107.411,"ARHGEF1"
"12060","XLOC_012060",103.496,107.782,123.706,39.9137,128.636,42.2401,"ZNF574"
"12061","XLOC_012061",0,0,0,0,0,0,"LOC100505622"
"12062","XLOC_012062",149.672,135.169,125.103,118.006,166.47,118.272,"ZNF526"
"12063","XLOC_012063",212.566,181.992,207.574,215.187,474.817,159.306,"CIC"
"12064","XLOC_012064",21.4954,21.203,20.2681,8.6769,22.7004,2.41372,"PRR19"
"12065","XLOC_012065",45.3792,34.4549,30.0528,1.73538,1.8917,7.24116,"TMEM145"
"12066","XLOC_012066",835.136,837.518,861.047,921.487,1362.03,934.11,"MEGF8"
"12067","XLOC_012067",0,0,0,0,0,0,"MIR8077"
"12068","XLOC_012068",19.107,19.4361,17.4725,24.2953,24.5921,27.7578,"LIPE-AS1,LOC101930071"
"12069","XLOC_012069",0,0,0,0,0,0,"LOC100289650"
"12070","XLOC_012070",4.77676,1.76692,5.59121,6.94152,0.945851,0,"PRG1"
"12071","XLOC_012071",19.9032,22.9699,20.967,166.597,304.564,282.405,"CD177"
"12072","XLOC_012072",5.57288,1.76692,4.19341,17.3538,23.6463,10.8617,"TEX101"
"12073","XLOC_012073",0.796126,0.883458,0.698902,1.73538,0.945851,2.41372,"ZNF575"
"12074","XLOC_012074",61.3017,36.2218,53.1165,19.0892,39.7258,27.7578,"PINLYP"
"12075","XLOC_012075",87.5739,83.9285,102.04,69.4152,61.4803,62.7568,"ZNF576"
"12076","XLOC_012076",14.3303,11.485,13.2791,0,23.6463,6.0343,"SRRM5"
"12077","XLOC_012077",0,0,0,0,0,0,"IRGC"
